PC1,PC2,PC3
131,66,36
10,73,75
5,-2,33
19,59,42
76,60,75
39,95,43
106,49,79
36,61,51
15,39,54
23,64,62
55,-27,109
104,47,63
66,63,85
60,6,58
7,19,89
8,85,53
41,45,40
124,79,45
31,88,65
50,6,87
70,78,76
43,61,66
10,73,68
10,64,94
-6,70,76
66,49,74
23,18,52
58,-15,26
35,75,68
63,61,92
44,91,60
44,77,38
21,59,82
14,4,82
18,65,48
9,52,72
12,62,81
20,55,33
19,58,56
-7,62,74
41,72,58
110,91,13
20,51,54
1,57,66
49,60,64
51,45,63
5,42,70
53,43,69
143,9,44
-6,10,79
3,28,38
14,54,48
23,62,69
13,67,64
144,53,44
29,90,76
30,62,78
7,80,65
56,48,9
30,50,89
94,-16,55
3,43,59
40,66,63
30,30,14
40,67,14
71,85,92
13,72,45
26,52,6
5,29,39
68,27,47
-8,63,67
63,84,31
9,54,35
51,89,35
81,49,57
19,72,73
95,32,26
36,3,104
58,54,53
-2,61,80
81,49,32
3,71,76
-5,71,73
16,58,77
37,27,25
27,50,93
16,47,59
73,73,21
2,-23,32
43,97,76
117,70,28
11,53,48
127,68,44
20,64,50
128,41,45
58,71,24
39,63,70
38,38,15
0,43,81
31,57,34
-14,-8,60
-10,29,61
102,70,16
62,63,55
18,47,57
74,74,48
18,8,86
9,99,58
57,48,82
20,73,40
80,82,67
96,51,50
84,60,102
43,60,57
32,92,58
43,62,57
36,70,53
92,41,35
13,51,63
21,65,85
96,39,61
22,69,49
140,56,54
1,6,94
46,63,69
55,65,27
30,74,37
32,68,53
86,29,44
11,38,60
3,15,85
117,27,47
71,90,21
5,-6,32
37,53,23
47,54,67
19,71,36
35,70,-12
7,59,61
52,61,100
100,0,78
138,44,44
9,53,57
34,50,13
106,58,55
90,36,35
16,58,78
48,87,32
4,70,61
9,92,63
4,48,69
2,60,61
80,88,47
23,50,20
64,68,111
30,59,32
55,90,15
35,73,68
93,24,55
34,14,18
107,-17,66
3,46,62
112,44,60
10,13,87
0,75,67
58,48,47
34,78,34
2,55,77
68,57,68
14,82,75
64,84,27
30,89,52
33,87,45
17,40,30
126,60,57
83,54,44
8,68,44
21,52,83
