Index,Title,Artist,Top Genre,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness
spotify:track:2Up8QSKRV7WnZxZAQasEUq,Mediterranea,Irama,italian adult pop,130.013,0.916,0.711,-4.678,0.188,0.79,177810,0.113,0.0587
spotify:track:0824Kyozhv4yBbM86aBFCG,Bella Storia,Fedez,italian adult pop,97.998,0.878,0.677,-5.013,0.193,0.65,176480,0.075,0.117
spotify:track:00ko9WaS4jOX1kEk3gvHjf,Hot Shower,Chance the Rapper,chicago rap,150.001,0.509,0.899,-8.04,0.0573,0.599,225924,0.00157,0.387
spotify:track:3tvWMBIblzT5FSjKtIeRR1,Whatever You Like,T.I.,atl hip hop,150.053,0.687,0.68,-6.162,0.261,0.467,249533,0.0161,0.0709
spotify:track:3yfFvg0jbSaNUFgvvx7LYj,Heaven's In Your Head,Superheart,,160.053,0.54,0.618,-10.965,0.0576,0.197,216723,0.155,0.044
spotify:track:5tZmLjU4vhPlJb12IweZuB,Ambition (feat. Meek Mill & Rick Ross),Wale,dance pop,161.792,0.744,0.42,-5.033,0.192,0.324,302547,0.398,0.396
spotify:track:6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150.231,0.653,0.58,-3.818,0.111,0.175,174960,0.447,0.0745
spotify:track:49rNGcAo0KX9lEFuQizCPG,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,81.946,0.621,0.697,-6.886,0.162,0.721,193296,0.0802,0.25
spotify:track:1H6tjsLMAa8wAEgQLMNtPw,I Got (feat. Pimp C & Project Pat) - Explicit Album Version,Three 6 Mafia,crunk,153.383,0.913,0.772,-4.765,0.376,0.72,227213,0.066,0.16
spotify:track:75L0qdzRnhwV62UXoNq3pE,Up All Night,Drake,canadian hip hop,156.347,0.811,0.606,-4.667,0.349,0.276,234333,0.00782,0.278
spotify:track:0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,dfw rap,159.801,0.52,0.585,-6.136,0.131,0.129,218147,0.124,0.0712
